Date,Ticker,Company_Name,Category,Open,High,Low,Close,Adj_Close,Volume
2010-01-04,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.7599983215332,53.900001525878906,53.22999954223633,53.689998626708984,48.50944900512695,2802145
2010-01-05,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.9900016784668,55.7599983215332,52.0,54.47999954223633,49.22321319580078,18410675
2010-01-06,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,54.68000030517578,55.16999816894531,53.41999816894531,53.709999084472656,48.52751922607422,8991010
2010-01-07,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.90999984741211,53.95000076293945,52.61000061035156,52.79999923706055,47.70532989501953,5386165
2010-01-08,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.0,53.34000015258789,52.400001525878906,52.54999923706055,47.47944259643555,4819155
2010-01-11,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.099998474121094,54.15999984741211,52.810001373291016,53.52000045776367,48.35585021972656,4908175
2010-01-12,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.599998474121094,54.099998474121094,52.06999969482422,52.619998931884766,47.542694091796875,6424270
2010-01-13,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,52.34000015258789,52.61000061035156,51.34000015258789,52.5099983215332,47.44330978393555,9733245
2010-01-14,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,52.599998474121094,54.220001220703125,52.599998474121094,53.81999969482422,48.62689971923828,8301960
2010-01-15,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,54.13999938964844,54.45000076293945,53.22999954223633,53.41999816894531,48.265499114990234,3422405
2010-01-18,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,53.029998779296875,54.70000076293945,53.029998779296875,54.459999084472656,49.20515441894531,4537200
2010-01-19,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,54.79999923706055,57.13999938964844,54.70000076293945,56.79999923706055,51.31935501098633,27471720
2010-01-20,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,57.0,57.54999923706055,54.400001525878906,54.63999938964844,49.36777877807617,24429145
2010-01-21,YESBANK.NS,Yes Bank,Retail Hype / Turnaround,54.380001068115234,54.470001220703125,52.599998474121094,52.939998626708984,47.831817626953125,15086635
