Date,Ticker,Company_Name,Category,Open,High,Low,Close,Adj_Close,Volume
2010-01-04,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1565.0,1586.699951171875,1546.1500244140625,1551.449951171875,1355.8221435546875,534231
2010-01-05,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1563.5,1567.550048828125,1510.0,1515.8499755859375,1324.7109375,1407407
2010-01-06,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1518.0,1522.800048828125,1460.0,1461.6500244140625,1277.345458984375,1571353
2010-01-07,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1468.0,1485.0,1450.0,1453.300048828125,1270.048583984375,901165
2010-01-08,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1459.0,1463.800048828125,1421.0999755859375,1433.1500244140625,1252.4390869140625,1294429
2010-01-11,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1442.0,1462.25,1438.0,1454.75,1271.3154296875,478942
2010-01-12,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1454.75,1462.0,1435.0,1441.0,1259.2994384765625,767986
2010-01-13,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1437.0,1449.5,1410.800048828125,1428.75,1248.593994140625,612474
2010-01-14,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1439.0,1443.25,1411.0,1414.8499755859375,1236.4466552734375,480493
2010-01-15,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1410.0,1442.9000244140625,1408.1500244140625,1413.449951171875,1235.22314453125,723389
2010-01-18,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1409.0,1447.0,1407.0,1429.3499755859375,1249.1185302734375,916180
2010-01-19,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1435.0,1450.0,1413.0999755859375,1419.300048828125,1240.33544921875,1009858
2010-01-20,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1428.800048828125,1465.0,1421.0,1458.3499755859375,1274.4615478515625,1376326
2010-01-21,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1445.0,1480.0,1440.0,1452.75,1269.567626953125,1220211
2010-01-22,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1440.0,1457.0,1405.0,1444.449951171875,1262.3143310546875,650256
2010-01-25,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1412.0,1475.0,1412.0,1446.199951171875,1263.8433837890625,851324
2010-01-27,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1431.0,1447.0,1350.300048828125,1369.800048828125,1197.0771484375,1180230
2010-01-28,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1377.0,1399.0,1362.050048828125,1378.300048828125,1204.5052490234375,835498
2010-01-29,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1374.4000244140625,1399.0,1332.0,1389.449951171875,1214.2493896484375,468949
2010-02-01,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1389.0,1419.699951171875,1375.25,1398.949951171875,1222.5516357421875,584347
2010-02-02,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1418.25,1418.25,1360.0,1373.550048828125,1200.3541259765625,573306
2010-02-03,MARUTI.NS,Maruti Suzuki,Auto & Turnaround Giant,1365.0,1384.9000244140625,1360.199951171875,1377.25,1203.587890625,594119
