Date,Ticker,Company_Name,Category,Open,High,Low,Close,Adj_Close,Volume
2010-01-04,INFY.NS,Infosys,Bluechip Heavyweight,326.25,328.75,324.4125061035156,326.57501220703125,217.4725341796875,4069264
2010-01-05,INFY.NS,Infosys,Bluechip Heavyweight,327.5,328.8374938964844,325.01251220703125,327.66876220703125,218.20094299316406,6895528
2010-01-06,INFY.NS,Infosys,Bluechip Heavyweight,335.375,335.375,321.88751220703125,322.88751220703125,215.01699829101562,6817288
2010-01-07,INFY.NS,Infosys,Bluechip Heavyweight,323.32501220703125,323.32501220703125,314.7749938964844,315.6312561035156,210.18490600585938,10892600
2010-01-08,INFY.NS,Infosys,Bluechip Heavyweight,314.875,315.4125061035156,307.25,308.0249938964844,205.1197967529297,12649312
2010-01-11,INFY.NS,Infosys,Bluechip Heavyweight,309.38751220703125,313.0874938964844,309.25,311.20623779296875,207.2382354736328,7849656
2010-01-12,INFY.NS,Infosys,Bluechip Heavyweight,312.5,324.25,312.5,323.3687438964844,215.33741760253906,24859680
2010-01-13,INFY.NS,Infosys,Bluechip Heavyweight,309.60626220703125,336.875,309.60626220703125,335.4375,223.374267578125,19704040
2010-01-14,INFY.NS,Infosys,Bluechip Heavyweight,334.875,337.86248779296875,331.2749938964844,336.21875,223.89447021484375,8413904
2010-01-15,INFY.NS,Infosys,Bluechip Heavyweight,336.21875,336.5625,331.76873779296875,334.4750061035156,222.73333740234375,5049504
2010-01-18,INFY.NS,Infosys,Bluechip Heavyweight,332.875,336.25,332.0,335.83123779296875,223.63650512695312,6140088
2010-01-19,INFY.NS,Infosys,Bluechip Heavyweight,335.0,336.0,328.51251220703125,329.48748779296875,219.4120635986328,5837512
2010-01-20,INFY.NS,Infosys,Bluechip Heavyweight,331.08123779296875,334.1499938964844,329.75,332.2124938964844,221.22665405273438,6091992
2010-01-21,INFY.NS,Infosys,Bluechip Heavyweight,330.375,333.0874938964844,325.0,328.1499938964844,218.5214385986328,6682792
2010-01-22,INFY.NS,Infosys,Bluechip Heavyweight,325.0,326.25,319.0,321.95001220703125,214.39266967773438,13486496
2010-01-25,INFY.NS,Infosys,Bluechip Heavyweight,318.75,321.2437438964844,314.75,317.7875061035156,211.62075805664062,6498712
2010-01-27,INFY.NS,Infosys,Bluechip Heavyweight,316.5,316.73126220703125,310.64373779296875,312.78125,208.28701782226562,9840856
2010-01-28,INFY.NS,Infosys,Bluechip Heavyweight,314.125,319.36248779296875,309.9375,311.46875,207.4130401611328,12732872
